MachineID,Date,Failure,RepairType,DowntimeHours
M066,2025/02/03,Y,Minor,6
M076,2025/05/31,N,Major,12
M080,2025-05-16,N,,8
M052,2025-04-25,Y,,4
M097,2025/02/25,N,Minor,15
M071,2025-03-29,N,,14
M011,2025-01-05,Y,Major,4
M022,18-04-2025,N,Major,5
M003,17-03-2025,N,,13
M074,08-01-2025,Y,Minor,9
M024,21-01-2025,Y,Major,15
M079,2025-04-28,N,Minor,14
M030,2025-04-18,Y,Major,14
M088,16-01-2025,Y,,7
M086,2025-03-14,Y,Minor,15
M013,2025-06-23,Y,Major,10
M087,2025/03/22,N,Minor,5
M009,19-07-2025,Y,Major,7
M053,2025/02/10,Y,Minor,14
M044,2025/03/18,N,,10
M011,2025-03-09,N,Major,6
M088,2025-05-31,N,Minor,5
M059,2025/02/12,N,Minor,15
M070,2025-03-09,Y,Major,11
M059,2025/06/02,N,Major,8
M037,2025-01-21,Y,,13
M079,2025-05-07,Y,Major,8
M002,27-05-2025,Y,Major,12
M069,17-04-2025,N,,3
M073,2025/07/14,Y,,9
M047,2025/07/11,N,Minor,12
M011,10-01-2025,N,,4
M041,12-01-2025,Y,Minor,12
M024,12-07-2025,Y,,3
M068,2025/05/18,Y,,6
M081,09-05-2025,N,Major,4
M041,2025-07-15,N,Major,14
M050,06-01-2025,Y,Minor,13
M002,2025-06-11,N,Major,10
M072,2025/03/29,N,Minor,15
M073,2025/06/06,N,Major,4
M009,2025-01-14,Y,Major,10
M037,2025-04-21,N,Minor,2
M056,2025/04/10,Y,,5
M064,2025/07/09,N,Minor,3
M085,2025/06/03,Y,,15
M051,12-02-2025,Y,Minor,8
M019,2025-04-17,N,,3
M057,2025-03-05,N,Minor,5
M088,2025/06/04,Y,,7
M020,2025-03-11,Y,,10
M057,2025/04/04,N,,12
M073,15-07-2025,N,,13
M047,2025/01/05,Y,,1
M050,2025/04/11,Y,,8
M040,01-05-2025,Y,,1
M010,2025/06/23,N,,14
M010,2025/03/28,N,Major,6
M062,2025/06/03,N,Minor,3
M036,02-07-2025,Y,,8
M065,14-02-2025,Y,Major,11
M002,2025/03/25,N,,4
M031,2025/03/29,N,,4
M054,2025-05-23,N,,8
M047,2025-02-26,Y,Major,1
M018,2025/06/19,N,Major,15
M047,2025/01/11,N,,11
M098,2025/04/06,Y,Major,4
M045,2025/04/25,Y,Major,6
M051,2025/01/28,N,,11
M098,11-06-2025,Y,Minor,14
M093,20-03-2025,N,Major,4
M091,10-07-2025,N,,4
M050,2025/01/05,N,Major,3
M074,2025-03-26,N,Minor,8
M032,2025/01/22,Y,Minor,5
M011,2025-05-31,Y,,7
M006,2025/01/09,Y,,7
M073,2025-07-13,Y,Major,9
M064,2025/05/11,Y,,7
M062,2025/04/09,N,Major,1
M043,2025-02-20,Y,Minor,4
M083,2025-06-14,N,,10
M005,2025-01-10,N,,5
M093,2025-05-29,Y,Minor,12
M044,2025-01-09,N,Minor,11
M077,2025/03/31,N,Minor,12
M023,2025/03/29,Y,,15
M009,2025-03-17,Y,,8
M078,16-05-2025,N,,14
M035,2025-03-10,Y,Minor,5
M045,2025/04/27,Y,Major,11
M099,2025-06-05,N,,6
M070,27-03-2025,N,Major,13
M054,27-02-2025,N,Minor,13
M077,2025-02-09,Y,,2
M070,06-02-2025,Y,,7
M040,2025/02/04,N,Major,2
M048,2025-02-17,N,,10
M079,14-01-2025,N,Major,12
M047,16-01-2025,N,Major,9
M032,2025-06-10,N,Major,8
M099,2025/01/07,Y,,11
M082,2025/02/05,Y,,9
M017,2025/04/06,Y,Minor,9
M075,2025-07-05,Y,,8
M099,2025-04-18,Y,Major,6
M048,14-01-2025,Y,Minor,14
M045,2025/03/18,N,Major,12
M076,2025/01/29,N,Minor,12
M088,09-06-2025,Y,,1
M079,2025-03-08,Y,Minor,10
M044,2025-07-13,N,Minor,15
M070,2025/06/11,N,Major,5
M046,20-05-2025,N,,2
M095,2025-03-24,Y,,4
M008,20-03-2025,N,,5
M077,19-01-2025,N,Minor,15
M053,2025-05-06,N,Major,5
M083,2025-03-31,Y,,11
M074,2025/03/19,N,Minor,6
M010,2025-02-19,N,,11
M008,2025-01-02,N,Minor,11
M080,2025-05-11,Y,,12
M040,2025/04/15,N,Minor,7
M081,07-05-2025,N,Minor,12
M025,2025/07/05,N,,8
M038,26-03-2025,N,,2
M020,2025/06/03,N,,1
M023,11-06-2025,Y,Minor,5
M070,17-05-2025,Y,,2
M004,2025/05/18,N,,9
M010,2025-06-10,Y,Major,7
M090,2025-03-15,Y,,7
M051,2025/03/20,Y,Minor,10
M052,2025/03/05,N,Major,6
M095,01-05-2025,N,,3
M063,13-07-2025,N,Minor,10
M034,2025/05/05,N,,11
M003,2025-03-13,N,Major,7
M040,2025-04-19,N,Minor,7
M001,28-03-2025,Y,Minor,10
M001,2025/05/25,Y,,9
M031,2025/04/11,N,Major,3
M020,2025/04/29,Y,,4
M033,2025-03-16,Y,,12
M082,2025/01/21,N,,10
M040,09-05-2025,N,Minor,7
M088,2025/05/20,N,Major,1
M026,2025/02/15,Y,Minor,3
M006,2025-02-18,N,,4
M040,2025-01-06,N,,8
M080,2025/06/16,N,,3
M008,2025-04-15,N,,11
M047,25-06-2025,Y,Minor,7
M010,2025-03-04,Y,Minor,13
M091,24-02-2025,N,Major,1
M077,19-05-2025,N,Minor,2
M070,2025/06/14,N,Major,9
M001,2025/06/24,Y,Minor,11
M034,2025/05/26,Y,,8
M017,2025-03-01,Y,,6
M070,2025/01/31,Y,,3
M066,17-01-2025,N,Major,3
M044,08-04-2025,Y,,5
M026,2025/02/25,Y,Minor,2
M073,2025-05-10,N,,10
M061,2025/04/24,Y,,7
M079,2025/06/08,Y,Minor,13
M036,15-06-2025,N,,14
M001,02-04-2025,Y,,11
M075,2025-01-24,N,Major,13
M007,2025/03/23,Y,,14
M018,2025/04/28,N,Minor,9
M008,2025-05-07,N,Major,13
M093,20-05-2025,N,Major,9
M047,2025-03-17,Y,Minor,9
M026,23-04-2025,N,,4
M003,2025-01-03,N,Major,13
M072,2025-01-19,Y,,3
M064,26-03-2025,N,Major,5
M095,01-03-2025,N,Minor,13
M030,2025/03/28,N,Minor,1
M033,17-07-2025,N,,3
M008,16-06-2025,Y,,4
M100,2025-01-22,Y,,10
M014,2025/02/07,N,Major,3
M017,01-04-2025,N,Minor,11
M004,2025/04/19,Y,,4
M084,2025-04-10,Y,,15
M055,20-05-2025,Y,,4
M020,2025/02/07,Y,Major,10
M097,20-02-2025,Y,,6
M043,2025-03-28,N,Major,7
M044,29-01-2025,Y,,10
M004,2025/01/21,N,,1
M054,19-04-2025,N,Minor,15
M100,2025-06-05,N,,8
M068,2025/03/01,Y,Major,4
M100,2025/02/22,Y,Minor,7
M067,2025-01-27,Y,Minor,3
M009,2025/05/15,N,Minor,5
M016,2025/02/21,N,,1
M032,2025-04-30,N,Major,11
M076,2025/01/17,N,Minor,5
M086,2025-04-10,Y,,10
M035,2025/05/24,N,Major,12
M032,2025/03/03,N,Minor,10
M052,2025/06/19,N,Major,6
M024,2025-04-19,Y,Major,8
M073,05-04-2025,Y,,14
M053,07-03-2025,N,,5
M057,2025-05-23,N,Major,10
M077,2025-04-05,N,Minor,5
M081,19-02-2025,Y,Minor,8
M070,12-05-2025,Y,,12
M022,2025-02-17,Y,,8
M001,19-01-2025,Y,Major,8
M055,2025-06-18,N,Minor,3
M089,2025-06-22,N,,9
M045,2025/05/03,Y,,6
M023,26-01-2025,N,,7
M031,25-03-2025,N,Major,13
M001,2025/01/02,Y,Major,9
M016,2025/02/09,Y,Minor,10
M066,2025/01/10,N,Minor,1
M049,2025-07-08,Y,Major,4
M081,2025-06-17,N,Major,4
M041,09-04-2025,N,,11
M063,2025/05/31,Y,,9
M086,2025/01/04,N,Minor,9
M093,15-07-2025,N,Minor,1
M050,2025/02/03,Y,Major,1
M099,2025/01/04,N,Major,6
M028,2025/04/03,Y,Major,12
M089,21-02-2025,Y,,13
M003,2025/06/17,N,,12
M064,2025/01/01,Y,,4
M082,2025/04/29,N,,5
M095,19-06-2025,Y,Major,8
M019,2025-04-03,Y,Minor,11
M060,29-03-2025,Y,Minor,8
M024,2025/01/06,Y,Major,6
M079,2025/03/09,N,Major,11
M034,01-01-2025,N,Major,5
M010,2025/01/08,Y,Major,13
M017,2025/01/15,N,Major,11
M039,2025-03-04,N,,9
M096,2025-01-20,N,Major,9
M005,2025/05/25,Y,,2
M065,2025-03-31,Y,,3
M051,2025/07/18,Y,Major,9
M056,2025-05-05,N,Major,10
M098,2025-06-21,Y,Major,13
M044,2025-06-26,N,Minor,5
M003,2025-05-28,N,Major,8
M075,2025-07-05,Y,Major,12
M034,2025/03/01,Y,,7
M041,2025-02-24,Y,,7
M083,24-04-2025,N,Major,10
M062,16-06-2025,Y,,10
M007,2025/07/17,Y,Minor,12
M065,2025-07-12,Y,,14
M003,2025/07/14,Y,Minor,12
M013,26-06-2025,Y,Minor,15
M051,30-04-2025,N,Minor,11
M075,2025-04-25,N,,7
M009,13-07-2025,N,Major,1
M054,2025/03/25,Y,,13
M007,2025-01-05,N,Major,13
M067,2025/05/11,Y,Minor,2
M006,05-01-2025,Y,,12
M016,14-01-2025,Y,,12
M051,2025/01/10,Y,Minor,10
M075,2025-03-05,N,Minor,13
M012,18-04-2025,N,Major,13
M060,2025/03/29,N,,12
M078,2025-04-05,N,Major,13
M012,2025-01-21,N,,12
M083,02-07-2025,Y,Major,13
M010,2025/07/09,N,Major,15
M002,2025/05/13,Y,Minor,9
M092,2025-03-19,Y,,15
M084,2025-02-03,Y,Major,13
M048,2025-01-22,Y,Minor,14
M076,2025/06/19,N,,13
M082,2025/01/12,N,Minor,3
M001,2025/03/30,Y,Minor,9
M099,05-03-2025,Y,Minor,11
M008,2025/05/22,Y,,9
M011,15-02-2025,Y,Minor,11
M048,2025/02/18,N,Major,8
M024,2025/03/03,N,Minor,13
M049,2025-07-02,N,Major,11
M072,15-03-2025,N,Major,1
M024,2025/05/13,N,Major,10
M083,2025/06/22,N,Minor,3
M085,2025/02/02,Y,Major,7
M056,2025-07-05,N,,9
M028,31-05-2025,N,Major,2
M047,05-03-2025,Y,,14
M042,10-04-2025,Y,Major,12
M042,2025/05/14,N,,1
M100,2025-05-31,Y,,11
M057,2025-04-05,Y,,5
M040,2025/06/01,Y,Minor,4
M015,2025/05/29,Y,,4
M007,2025-02-23,N,Minor,13
M072,2025/07/02,N,Minor,1
M015,09-06-2025,N,Major,15
M086,2025-01-26,N,Major,14
M034,2025/04/20,N,,11
M016,2025/06/04,Y,Major,13
M005,17-03-2025,Y,,7
M024,2025/07/10,Y,,15
M048,19-06-2025,N,,13
M029,01-06-2025,N,Major,2
M068,21-01-2025,Y,,2
M035,2025-06-22,N,,9
M067,25-03-2025,N,Minor,12
M099,18-05-2025,Y,Major,5
M081,2025/05/10,Y,Major,9
M053,2025-06-02,Y,,10
M081,20-02-2025,N,Major,2
M097,2025/04/11,Y,,8
M065,2025-02-06,Y,Minor,6
M088,2025/04/05,Y,,9
M068,07-05-2025,N,Minor,7
M056,2025-02-01,N,,4
M032,2025/01/12,N,Minor,15
M019,2025/03/28,N,Major,10
M090,09-04-2025,Y,,13
M035,2025-03-22,Y,Minor,2
M037,2025/04/29,Y,,8
M026,10-02-2025,Y,Major,6
M003,2025/04/25,N,Minor,13
M016,2025-05-17,Y,Major,3
M068,2025-04-20,Y,,3
M051,2025/03/08,N,Major,13
M065,31-01-2025,N,Major,6
M092,10-01-2025,N,Major,3
M088,02-04-2025,N,,5
M097,2025/05/26,Y,Minor,11
M024,2025-01-10,Y,,15
M039,2025-07-01,N,Major,8
M077,2025/04/14,Y,,10
M025,18-06-2025,N,,7
M046,2025/02/09,Y,Minor,1
M050,2025/07/16,N,Major,1
M011,20-03-2025,N,Minor,1
M082,05-01-2025,Y,Major,11
M090,2025/04/03,N,Major,12
M084,20-06-2025,N,,5
M003,07-06-2025,N,Major,8
M002,2025/05/08,Y,,5
M041,2025/01/04,N,Minor,13
M095,2025-06-15,N,,6
M086,2025-05-03,Y,Minor,14
M083,2025/04/18,N,,4
M042,2025-06-01,N,Minor,14
M066,03-07-2025,Y,,10
M014,2025-02-27,N,,13
M043,2025/06/04,N,,12
M029,16-05-2025,N,,3
M074,2025/07/15,N,,3
M093,2025-01-07,Y,Major,4
M018,2025/05/08,Y,Minor,13
M031,2025-01-19,Y,,4
M066,2025/06/08,N,Major,9
M024,2025/03/13,Y,Major,5
M002,2025/01/08,N,Major,12
M043,2025/06/13,Y,Major,4
M004,2025/02/26,Y,Major,6
M052,09-05-2025,N,,12
M056,2025/02/14,Y,Minor,4
M013,2025-03-01,Y,Minor,6
M055,2025-06-18,N,Minor,10
M045,2025-01-15,N,Minor,14
M089,2025/05/23,N,Minor,5
M098,07-06-2025,Y,,4
M079,24-01-2025,N,Minor,13
M091,01-03-2025,N,Minor,8
M027,23-04-2025,Y,Minor,3
M025,2025-02-24,Y,Minor,14
M027,2025-03-29,N,,13
M048,2025-01-02,Y,Major,10
M080,21-02-2025,N,Minor,14
M097,2025-06-26,Y,Minor,9
M045,13-01-2025,N,,11
M003,10-04-2025,Y,Minor,12
M061,2025-04-23,Y,,14
M024,01-04-2025,Y,Major,6
M032,2025/07/18,Y,,11
M076,2025-02-27,N,,5
M032,06-04-2025,N,Major,7
M039,17-04-2025,N,Major,13
M027,2025/05/27,Y,,4
M002,24-01-2025,N,Major,4
M017,2025/01/04,Y,Major,3
M012,07-01-2025,N,,9
M005,2025-05-10,Y,,15
M066,22-06-2025,N,,15
M018,2025-01-22,N,Major,1
M095,2025-02-25,Y,,8
M055,2025/03/24,N,Minor,3
M089,11-06-2025,Y,,14
M020,2025/03/02,Y,Major,11
M024,2025/06/27,N,,4
M070,20-03-2025,N,Major,6
M011,04-07-2025,Y,Major,15
M039,20-02-2025,N,Minor,9
M021,07-02-2025,Y,Major,6
M042,14-05-2025,Y,,7
M033,31-03-2025,N,,8
M007,09-03-2025,Y,Major,6
M078,29-04-2025,Y,Minor,9
M082,2025/05/01,N,Major,11
M069,2025-07-02,Y,Minor,5
M042,2025-05-09,Y,Major,7
M074,12-04-2025,N,Minor,11
M074,2025-06-06,Y,Major,12
M055,22-02-2025,N,,11
M044,2025/07/08,N,Minor,4
M063,2025/04/30,N,Major,9
M011,2025/02/24,Y,,10
M037,2025/01/26,Y,,7
M065,2025-04-27,Y,Major,12
M033,2025-05-30,N,Minor,1
M081,2025-05-25,Y,Minor,11
M057,2025-02-09,Y,Minor,13
M047,2025/04/12,Y,Major,4
M086,10-05-2025,Y,Minor,8
M032,2025-04-22,Y,,3
M099,2025-04-11,N,,4
M044,2025/06/05,Y,,9
M071,2025/05/26,N,Minor,8
M086,21-03-2025,Y,Major,8
M030,17-06-2025,Y,Major,1
M037,18-07-2025,Y,Major,3
M004,2025-03-15,Y,Major,1
M080,04-04-2025,N,,13
M080,16-07-2025,Y,,11
M080,2025/04/03,N,,14
M050,16-02-2025,N,Minor,8
M095,2025-06-14,Y,,3
M027,2025-02-27,Y,Minor,10
M077,2025/04/15,N,,3
M064,2025/07/05,N,Minor,9
M011,19-01-2025,N,Major,4
M074,2025-01-26,N,Major,15
M038,2025/05/08,N,Minor,14
M053,12-01-2025,N,Major,14
M076,18-07-2025,N,Minor,10
M074,17-06-2025,N,,5
M015,2025/02/19,N,,9
M033,05-06-2025,N,Major,15
M025,2025-01-10,Y,Minor,4
M062,29-04-2025,N,Minor,13
M083,2025-03-31,N,Major,12
M072,2025/06/11,Y,,10
M042,2025/02/14,Y,Major,6
M022,2025/01/11,N,,13
M077,2025/02/22,Y,Major,13
M074,2025-01-29,Y,,7
M032,2025-07-01,N,,8
M032,08-01-2025,N,,2
M012,30-06-2025,Y,Minor,11
M066,2025/06/28,Y,Major,4
M072,2025/01/26,Y,,8
M098,02-01-2025,Y,Major,14
M068,2025/06/01,Y,Minor,3
M080,2025/01/04,N,Minor,1
M095,2025/05/11,Y,Minor,3
M033,2025-02-19,Y,Minor,5
M037,13-01-2025,Y,Major,7
M099,2025-06-16,N,Major,13
M076,2025/01/12,Y,Minor,12
M068,13-02-2025,N,Minor,3
M028,2025/07/13,Y,Major,2
M037,2025-03-16,N,,13
M020,2025/01/10,N,,12
M019,2025/04/10,N,Minor,3
M058,2025/05/31,Y,Major,3
M004,2025-01-13,Y,,12
M085,14-04-2025,Y,,6
M010,2025-03-11,Y,,2
M036,2025/03/09,N,Minor,8
M034,2025/03/02,Y,Major,12
M065,2025-03-09,N,Minor,5
M075,2025-05-08,N,,7
M022,2025/01/31,N,Major,11
M013,2025-05-10,Y,,7
M097,15-07-2025,Y,,6
M070,2025-01-21,N,Major,7
M097,12-03-2025,N,Minor,1
M063,19-02-2025,Y,Major,5
M091,2025-05-24,N,,1
M027,21-05-2025,N,,3
M008,2025-04-09,Y,Minor,12
M063,2025-05-29,N,Major,9
M005,2025/05/31,N,,7
M040,2025/01/24,N,Minor,8
M075,2025/03/24,Y,Major,15
M093,2025-04-29,N,,1
M062,2025-04-29,N,,4
M075,02-01-2025,Y,Major,8
M093,2025/04/09,Y,Major,6
M038,2025/07/17,N,Minor,13
M003,2025-02-23,N,Minor,14
M072,2025-03-20,N,,14
M031,2025/03/13,N,,2
M088,2025-04-03,N,Major,3
M067,2025/02/16,N,Minor,5
M052,2025/06/08,N,,5
M043,2025-01-28,Y,Minor,4
M069,2025/04/22,Y,Major,11
M099,2025-06-06,Y,Minor,9
M076,2025/04/07,Y,,5
M015,21-02-2025,Y,Major,8
M066,2025-06-08,N,Minor,5
M053,13-07-2025,Y,,12
M071,2025/05/10,Y,Major,8
M045,2025/07/12,N,,3
M032,2025/04/27,Y,Minor,3
M033,04-04-2025,N,,3
M053,13-04-2025,N,Minor,6
M068,23-03-2025,N,,11
M022,16-06-2025,Y,Major,10
M054,18-02-2025,Y,Minor,5
M059,2025/04/04,Y,Major,9
M051,2025-06-23,N,,4
M013,29-04-2025,Y,Minor,5
M074,2025-04-18,Y,Minor,3
M063,2025/05/08,N,Major,14
M082,2025/04/30,N,Minor,14
M020,17-02-2025,N,Major,7
M059,2025-04-18,Y,Major,12
M063,2025/05/03,Y,Minor,7
M015,2025/03/30,Y,Minor,5
M036,06-04-2025,Y,Minor,15
M067,11-05-2025,N,,9
M098,2025-02-22,Y,,14
M080,23-02-2025,N,Minor,14
M057,2025/01/13,N,Minor,14
M043,22-06-2025,N,Minor,11
M068,2025-06-25,N,Major,14
M041,06-07-2025,N,Minor,13
M045,21-06-2025,N,,8
M084,2025/04/16,N,Major,15
M041,30-06-2025,Y,,15
M055,2025/06/19,N,,13
M058,2025/06/15,N,Minor,9
M013,2025-03-19,Y,,1
M070,02-01-2025,Y,,3
M071,2025-02-28,Y,Minor,12
M090,12-04-2025,N,Minor,10
M017,2025-03-24,N,,13
M093,2025/06/20,Y,,9
M002,2025-06-02,N,Minor,10
M006,2025/06/11,N,Minor,7
M088,2025-04-03,N,Major,6
M028,2025/05/21,N,,9
M034,05-05-2025,N,,10
M085,2025/01/22,Y,,12
M033,17-02-2025,N,,14
M089,2025-06-29,Y,Major,15
M028,2025/06/27,N,Major,3
M027,26-06-2025,Y,,14
M035,2025-04-16,Y,Minor,4
M100,2025/01/09,Y,,2
M055,2025-01-24,N,,7
M015,18-07-2025,Y,,13
M037,24-01-2025,N,Minor,2
M077,2025/02/10,N,Minor,14
M053,2025-06-21,Y,Major,8
M003,28-06-2025,Y,Major,10
M064,2025/06/28,N,Minor,3
M015,2025/05/29,N,,4
M043,13-04-2025,N,Minor,1
M091,26-02-2025,N,Minor,14
M087,2025/07/11,N,Minor,7
M081,2025-02-16,N,,2
M045,2025/06/25,N,,1
M031,28-02-2025,N,Minor,8
M079,2025-07-06,N,Major,9
M061,2025/03/30,N,,1
M099,28-04-2025,Y,Minor,10
M024,2025/01/29,Y,,13
M020,2025-03-28,N,Major,12
M056,2025/01/03,Y,Major,7
M083,2025-06-30,Y,Minor,7
M035,2025-03-07,Y,Major,3
M091,18-07-2025,Y,Minor,7
M060,2025-01-07,Y,Major,3
M052,31-01-2025,N,Minor,12
M100,2025-04-23,N,Minor,11
M021,14-04-2025,N,,6
M011,2025/02/02,N,Major,3
M062,2025-06-17,N,Minor,14
M015,2025-06-20,N,Minor,3
M018,2025/05/29,N,,14
M064,22-05-2025,N,Minor,10
M044,2025-04-19,N,Minor,6
M058,2025/02/25,Y,Major,7
M099,2025-04-08,Y,Major,10
M037,2025/07/13,Y,,9
M092,2025-04-16,Y,Minor,3
M091,18-01-2025,N,,11
M055,24-04-2025,Y,,14
M030,2025/01/09,Y,Major,10
M057,2025-02-10,Y,,3
M021,29-06-2025,Y,Minor,10
M054,01-04-2025,N,Minor,14
M044,2025/02/21,Y,Minor,11
M078,2025-03-26,N,,15
M063,2025/03/06,N,,15
M075,2025-01-23,Y,Minor,15
M049,06-06-2025,Y,Major,9
M042,2025-07-03,Y,Minor,15
M014,2025/05/17,N,Minor,15
M025,2025/06/20,Y,Major,6
M020,05-04-2025,N,,15
M055,2025-01-05,Y,,7
M092,2025-04-25,N,Minor,14
M020,2025-06-25,N,Minor,15
M072,2025/04/16,Y,Major,13
M067,2025/04/27,N,,4
M070,2025/07/16,Y,,9
M025,07-02-2025,N,Major,14
M085,2025/01/30,N,,15
M017,2025/01/26,Y,Major,5
M078,2025-03-26,N,Minor,12
M069,2025-07-17,N,Minor,1
M066,2025-02-27,Y,,12
M095,2025/05/09,Y,Major,3
M019,03-07-2025,N,Major,9
M060,30-05-2025,N,Major,15
M077,2025/03/08,Y,,15
M009,2025-02-16,N,Minor,9
M093,2025/07/19,Y,Minor,7
M071,2025/01/11,Y,Minor,11
M095,2025/06/01,Y,,3
M096,2025-06-18,Y,,11
M022,2025/01/14,Y,Minor,1
M045,2025-01-30,Y,,6
M037,2025/02/07,N,Major,8
M073,2025/06/25,Y,Minor,8
M027,2025/05/15,N,,3
M094,2025/02/11,Y,Major,2
M054,2025/05/03,Y,,1
M006,24-05-2025,N,Minor,9
M099,14-05-2025,Y,,3
M051,2025-06-26,Y,,8
M021,2025-06-21,Y,Minor,1
M002,2025-01-31,Y,,13
M022,2025-06-26,Y,,3
M006,25-06-2025,Y,Major,10
M004,2025/02/01,Y,Minor,11
M026,2025-06-26,N,,8
M014,2025-03-14,N,,5
M037,19-01-2025,Y,,5
M044,2025-01-13,N,Minor,7
M012,2025-01-10,N,,12
M032,2025-07-17,N,Minor,1
M065,19-03-2025,Y,Major,4
M075,09-05-2025,N,Minor,5
M082,13-02-2025,Y,Major,8
M007,2025/01/12,N,Major,8
M048,2025/05/29,Y,Major,2
M087,02-01-2025,N,Major,4
M058,2025/06/22,Y,Major,11
M078,2025-02-16,Y,Minor,11
M074,2025/03/05,Y,Minor,6
M056,2025-05-08,Y,,8
M029,19-07-2025,N,Major,4
M035,28-01-2025,Y,Major,15
M068,30-01-2025,N,Major,10
M008,2025/06/12,Y,,11
M026,2025/04/06,Y,Minor,5
M091,2025/01/14,Y,Minor,1
M029,2025/04/26,Y,Minor,12
M062,2025/07/14,Y,Minor,1
M039,2025/01/24,N,Major,7
M026,2025-03-03,Y,Major,14
M070,2025/03/06,N,,2
M037,11-05-2025,N,Major,11
M083,2025/05/18,Y,Minor,2
M045,04-04-2025,Y,,4
M086,17-01-2025,Y,Minor,10
M075,2025/02/24,Y,,4
M065,13-02-2025,Y,Major,5
M011,2025-03-21,Y,Major,8
M014,2025/04/01,N,Minor,12
M072,2025-02-07,N,Major,1
M040,2025-04-15,N,Major,12
M017,2025-03-20,Y,Major,14
M017,2025-01-05,N,,14
M039,12-02-2025,Y,Major,6
M004,2025/01/09,N,,9
M048,08-07-2025,Y,Major,9
M071,03-03-2025,Y,,4
M044,2025-04-06,Y,Minor,7
M075,2025/03/02,Y,Minor,4
M089,15-01-2025,Y,Minor,7
M075,14-04-2025,Y,Minor,5
M028,2025-06-24,N,Major,4
M056,12-03-2025,N,Major,13
M008,2025-01-09,N,Major,7
M018,2025/04/11,Y,Minor,3
M030,2025/06/24,N,,5
M058,2025/03/14,Y,Major,9
M037,2025-03-25,Y,,1
M053,2025-04-27,N,Major,4
M056,2025/05/23,N,Major,13
M045,2025-04-09,Y,Major,6
M083,16-01-2025,N,,11
M095,2025-01-24,Y,Minor,11
M060,2025/03/19,Y,Minor,6
M035,2025/06/30,Y,,14
M038,2025/05/13,N,Minor,2
M008,2025-02-23,N,Major,7
M082,2025/07/18,Y,Minor,7
M091,2025-06-24,N,Minor,7
M070,2025-02-27,Y,Minor,10
M015,03-03-2025,Y,Minor,10
M069,2025-02-19,Y,Minor,6
M021,2025-02-03,N,,6
M025,14-02-2025,N,Minor,10
M048,18-04-2025,N,,5
M062,2025-07-14,Y,Minor,5
M012,20-01-2025,N,,14
M016,2025/04/09,Y,,7
M067,2025-07-03,Y,Minor,6
M069,2025-06-06,N,,15
M075,2025/02/03,Y,,12
M051,2025/02/15,Y,Minor,13
M002,2025/06/20,Y,,14
M016,2025-06-12,N,,1
M045,2025-02-27,N,,5
M074,15-04-2025,N,Major,14
M022,2025-02-04,N,Minor,7
M096,2025/01/30,Y,,6
M014,2025-01-11,N,Minor,13
M079,20-03-2025,Y,Major,7
M081,2025-01-29,N,Minor,3
M004,2025/03/13,N,Minor,8
M072,2025/01/26,Y,Minor,13
M047,2025-01-01,N,,13
M095,2025-04-30,N,Minor,1
M004,2025-01-16,N,Minor,10
M062,22-06-2025,Y,Major,7
M061,04-06-2025,N,Minor,11
M021,22-01-2025,Y,,12
M081,07-04-2025,Y,Major,12
M085,25-06-2025,Y,,1
M093,2025-04-22,Y,Minor,7
M014,28-04-2025,N,Minor,7
M039,28-04-2025,Y,Minor,13
M058,2025/01/19,Y,Major,5
M048,2025-04-23,N,Minor,13
M013,2025-01-21,N,,15
M014,15-05-2025,Y,Minor,2
M060,2025/05/10,N,Minor,13
M045,2025/03/12,N,,3
M075,2025/01/16,N,Major,15
M017,2025-03-13,Y,,13
M096,23-04-2025,Y,,2
M033,26-03-2025,Y,Minor,15
M065,30-01-2025,Y,,6
M024,2025-01-25,N,Minor,1
M061,2025-04-07,N,Major,4
M052,22-05-2025,Y,Major,14
M058,2025/03/25,N,,14
M061,2025-04-22,N,,3
M004,29-04-2025,N,Major,9
M030,2025-01-08,Y,Minor,5
M070,13-06-2025,N,Major,15
M069,2025-04-30,Y,Major,14
M016,2025-04-01,Y,Major,3
M047,2025-05-12,Y,,13
M039,24-03-2025,Y,Major,13
M006,03-03-2025,N,Major,10
M088,2025/01/21,Y,Minor,2
M001,2025/06/11,N,,1
M011,2025/01/05,N,Major,9
M093,2025/05/21,N,Minor,14
M035,2025/07/14,Y,Minor,15
M047,2025/03/20,N,Major,7
M009,2025/02/01,N,Minor,11
M007,05-01-2025,N,Minor,4
M041,2025-05-18,N,Major,11
M096,30-05-2025,N,Major,8
M019,16-02-2025,N,Major,6
M065,2025/05/14,N,,7
M071,28-03-2025,N,Minor,1
M042,2025-07-02,Y,Major,3
M034,2025-05-10,N,Major,4
M028,2025/05/31,N,Minor,9
M029,2025/06/17,N,Minor,3
M024,2025-04-27,Y,,15
M084,02-04-2025,N,,9
M039,2025-04-10,N,,8
M086,2025/02/05,Y,,8
M070,06-02-2025,N,Major,3
M098,2025-01-13,N,Minor,14
M089,2025/06/25,N,Minor,2
M033,2025-05-04,Y,,3
M095,2025-01-31,N,Major,7
M037,19-04-2025,Y,,9
M084,15-02-2025,N,,15
M031,2025/05/24,N,Major,9
M058,2025-03-07,N,,3
M076,2025/02/28,N,Minor,3
M013,13-01-2025,Y,,13
M046,2025-04-17,Y,,1
M001,2025-01-31,N,Major,8
M025,2025/06/28,Y,,6
M016,03-02-2025,N,Minor,15
M072,26-03-2025,Y,Minor,1
